127.0.0.1 - - [24/Jul/2023:18:47:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:46 +0900] "GET /smart/ HTTP/1.1" 200 6708
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:46 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:46 +0900] "GET /smart/js/common.js?Mon%20Jul%2024%2018:47:46%20KST%202023 HTTP/1.1" 200 11297
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:46 +0900] "GET /smart/img/hanul.logo.png;jsessionid=026651E412DEDEA3F5933E8781593182 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:46 +0900] "GET /smart/css/common.css?Mon%20Jul%2024%2018:47:46%20KST%202023 HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:46 +0900] "GET /smart/css/styles.css?Mon%20Jul%2024%2018:47:46%20KST%202023 HTTP/1.1" 200 238072
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:46 +0900] "GET /smart/img/hanul.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:46 +0900] "GET /smart/js/scripts.js;jsessionid=026651E412DEDEA3F5933E8781593182 HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:47 +0900] "GET /smart/img/hanul.ico;jsessionid=026651E412DEDEA3F5933E8781593182 HTTP/1.1" 200 9062
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:51 +0900] "GET /smart/notice/list;jsessionid=026651E412DEDEA3F5933E8781593182 HTTP/1.1" 200 12117
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:51 +0900] "GET /smart/css/styles.css?Mon%20Jul%2024%2018:47:51%20KST%202023 HTTP/1.1" 200 238072
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:51 +0900] "GET /smart/css/common.css?Mon%20Jul%2024%2018:47:51%20KST%202023 HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:51 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:51 +0900] "GET /smart/img/hanul.logo.png HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:51 +0900] "GET /smart/js/common.js?Mon%20Jul%2024%2018:47:51%20KST%202023 HTTP/1.1" 200 11297
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:51 +0900] "GET /smart/js/scripts.js HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:47:51 +0900] "GET /smart/img/hanul.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2023:18:48:13 +0900] "GET /smart/notice/info?id=305&curPage=1&search=&keyword= HTTP/1.1" 200 6670
